title,critic_score,critic_sentiment,audience_score,audience_sentiment
How It Ends,17%,negative,17%,negative
Persuasion,30%,negative,72%,positive
The Room Next Door,80%,positive,76%,positive
In the Tall Grass,36%,negative,33%,negative
The Squid and the Whale,91%,positive,81%,positive
99 Homes,92%,positive,78%,positive
The Union,35%,negative,24%,negative
Battleship,33%,negative,54%,negative
Intrusion,19%,negative,58%,negative
The Trial of the Chicago 7,89%,positive,90%,positive
Army Of The Dead,68%,positive,74%,positive
Mowgli: Legend of the Jungle,52%,negative,51%,negative
Entergalactic,97%,positive,93%,positive
The Weekend Away,42%,negative,37%,negative
2 Guns,64%,positive,66%,positive
Cloudy With a Chance of Meatballs,85%,positive,72%,positive
Maestro,78%,positive,57%,negative
Rogue Agent,72%,positive,66%,positive
The Blackening,87%,positive,85%,positive
El Camino Christmas,,,41%,negative
A Nonsense Christmas with Sabrina Carpenter,100%,positive,71%,positive
Plankton: The Movie,71%,positive,69%,positive
Fast Times at Ridgemont High,78%,positive,80%,positive
Enola Holmes 2,93%,positive,79%,positive
High Plains Drifter,94%,positive,85%,positive
Extraction 2,80%,positive,84%,positive
Lust Stories 2,60%,positive,57%,negative
Blonde,43%,negative,36%,negative
The Sunlit Night,31%,negative,64%,positive
Outlaw King,63%,positive,69%,positive
Ma Rainey's Black Bottom,97%,positive,72%,positive
The Silence,30%,negative,25%,negative
In Waves and War,,,,
Ad Vitam,43%,negative,33%,negative
Angel Has Fallen,38%,negative,93%,positive
Saturday Night,77%,positive,83%,positive
The Dig,88%,positive,78%,positive
Mr. Deeds,22%,negative,59%,negative
Charlie's Angels,68%,positive,45%,negative
Dirty Dancing,72%,positive,90%,positive
Murder Mystery,43%,negative,47%,negative
"Tick, Tick... Boom!",88%,positive,96%,positive
The Last Stand,61%,positive,53%,negative
The White Tiger,91%,positive,79%,positive
#Alive,88%,positive,63%,positive
Beasts of No Nation,91%,positive,92%,positive
Ferris Bueller's Day Off,83%,positive,92%,positive
Hulk,63%,positive,29%,negative
Pineapple Express,68%,positive,73%,positive
Project Power,61%,positive,46%,negative
After We Collided,13%,negative,93%,positive
Sand Castle,47%,negative,47%,negative
Apocalypse in the Tropics,90%,positive,80%,positive
The Half of It,97%,positive,81%,positive
Da 5 Bloods,92%,positive,53%,negative
Over the Hedge,75%,positive,71%,positive
Bad Trip,80%,positive,75%,positive
Wicked Little Letters,80%,positive,92%,positive
Runaway Bride,45%,negative,52%,negative
Sunday Best,100%,positive,96%,positive
Maria,76%,positive,76%,positive
A California Christmas,,,52%,negative
Stripes,88%,positive,79%,positive
Dreamgirls,79%,positive,71%,positive
Kingpin,51%,negative,69%,positive
The Kissing Booth,17%,negative,55%,negative
Beverly Hills Cop: Axel F,67%,positive,75%,positive
Pain Hustlers,23%,negative,64%,positive
Godzilla,20%,negative,28%,negative
The Boy Next Door,12%,negative,35%,negative
Despicable Me 3,58%,negative,53%,negative
The Secret Life of Pets,70%,positive,62%,positive
Lion,84%,positive,91%,positive
Love at First Sight,76%,positive,81%,positive
French Lover,,,63%,positive
G.I. Joe: Retaliation,29%,negative,48%,negative
Leo,84%,positive,89%,positive
Lou,69%,positive,61%,positive
The Highwaymen,58%,negative,75%,positive
I Know What You Did Last Summer,47%,negative,41%,negative
6 Underground,36%,negative,60%,positive
iHostage,,,19%,negative
Battlefield Earth,3%,negative,12%,negative
The Wretched,74%,positive,47%,negative
Will & Harper,99%,positive,82%,positive
A Very Murray Christmas,68%,positive,38%,negative
Parenthood,92%,positive,76%,positive
Sister Act,73%,positive,65%,positive
The Outsider,13%,negative,67%,positive
All the Bright Places,67%,positive,62%,positive
Atlas,18%,negative,47%,negative
Code 8,85%,positive,62%,positive
